iter	RMSE
941	30030.27216
942	30029.71448
943	30028.48773
944	30028.45015
945	30027.72245
946	30027.64844
947	30027.27265
948	30027.09462
949	30026.65835
950	30025.30536
951	30023.98125
952	30023.43368
953	30022.99484
954	30022.04644
955	30021.77753
956	30021.08101
957	30020.83724
958	30020.38629
959	30019.5311
960	30018.91327
961	30018.54715
962	30018.19969
963	30017.92518
964	30017.77281
965	30017.37695
966	30016.68049
967	30016.50257
968	30016.05289
969	30015.97088
970	30015.40006
971	30015.11735
972	30015.08804
973	30014.97244
974	30014.43206
975	30014.07468
976	30013.4882
977	30013.29644
978	30012.88732
979	30011.53403
980	30010.84371
981	30010.69057
982	30010.23805
983	30009.75899
984	30009.65739
985	30009.38483
986	30008.75079
987	30008.16849
988	30007.40691
989	30006.47883
990	30006.004
991	30005.35372
992	30005.24044
993	30004.70222
994	30004.61212
995	30004.44445
996	30003.93084
997	30003.21597
998	30002.94031
999	30002.1739
3
